"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Samson And The Seven Miracles Of The World (Infinity Entertainment)","Retromedia",,"Out","2.0","4:3",19.98,"NR","1961","Action/Adventure","1.33:1","617742205299",2009-01-20 00:00:00,147712,2008-10-24 00:00:00,1
"Save Me (Black And White Cover)","First Run Features",,"Out","2.0","LBX",24.95,"NR","2007","Drama","2.35:1","720229913591",2009-01-20 00:00:00,147654,2008-10-19 00:00:00,1
"Save Me (Color Cover)","First Run Features",,"Out","2.0","LBX",24.95,"NR","2007","Drama","2.35:1","720229913621",2009-01-20 00:00:00,147660,2008-10-19 00:00:00,1
"Saw V (Pan & Scan/ R-Rated Version)","Lions Gate",,"Out","2.0","4:3 P&S",29.95,"R","2008","Horror","1.33:1","031398104698",2009-01-20 00:00:00,149757,2008-11-23 00:00:00,1
"Saw V (Widescreen/ Blu-ray/ Unrated Version)","Lions Gate",,"Out","2.0","LBX, 16:9, BLU-RAY",39.99,"UR","2008","Horror","1.85:1","031398104742",2009-01-20 00:00:00,149766,2008-11-23 00:00:00,1
"Saw V (Widescreen/ Unrated Version)","Lions Gate",,"Out","2.0","LBX, 16:9",29.95,"UR","2008","Horror","1.85:1","031398104704",2009-01-20 00:00:00,149758,2008-11-23 00:00:00,1
"Sexy Sugar Honeys 2","Shami Production",,"Out","2.0","4:3",13.98,"UR","2009","Late Night","1.33:1","798657116938",2009-01-20 00:00:00,152350,2009-01-01 00:00:00,1
"Shinobi: The Law Of Shinobi / Shinobi: Runaway","A.D. Vision",,"Out","SUB","4:3",19.98,"NR","VAR","Foreign","1.33:1","702727184222",2009-01-20 00:00:00,148956,2008-11-12 00:00:00,1
"Simon Schama's Rough Crossings","BBC Home Video",,"Out","2.0","LBX",14.98,"NR","2007","Documentary","1.85:1","883929004089",2009-01-20 00:00:00,126533,2008-11-16 00:00:00,1
"Simon Schama's The American Future: History","BBC Home Video",,"Out","2.0","LBX, 16:9",34.98,"NR","2008","Documentary","1.85:1","883929050499",2009-01-20 00:00:00,149309,2008-11-16 00:00:00,1
"Spain: On The Road Again","Docurama",,"Out","2.0","4:3",39.95,"NR","2008","Documentary","1.33:1","767685147429",2009-01-20 00:00:00,147957,2008-10-25 00:00:00,1
"Special Forces","First Look",2009-04-07 00:00:00,"Pending","2.0","4:3",9.98,"NR","UNK","War","1.33:1","687797321299",2009-04-07 00:00:00,153341,2009-01-20 00:00:00,0
"Spring Break Uncut: 2.8 Remix","Big Fuddez Records",,"Out","2.0","4:3",12.95,"UR","2009","Late Night","1.33:1","694955020994",2009-01-20 00:00:00,149232,2008-11-16 00:00:00,1
"Sputnik Mania","A&E Video",,"Out","2.0","4:3",24.95,"NR","2007","Documentary","1.33:1","733961118889",2009-01-20 00:00:00,136540,2008-11-19 00:00:00,1
"Spy School","Universal",,"Out","5.1","LBX, 16:9",24.98,"PG","2008","Comedy","1.85:1","025192011641",2009-01-20 00:00:00,148494,2008-11-11 00:00:00,1
"Stanley Tookie Williams","Morningstar Entertainment",,"Out","2.0","4:3",24.98,"NR","UNK","Documentary","1.33:1","063634022213",2009-01-20 00:00:00,148704,2008-11-09 00:00:00,1
